Cluster ID,Attacks,Cost,Profit,Attacker Accounts,Bot Contracts,Unique Bot Count
1,1,0.05205155880890991,3.5279177835765156,1,1,1
2,4,3.9842256029435505,225.08444572830405,3,1,1
3,1,0.09461855055625183,2.18574215193314,1,1,1
4,37,65.77547600476424,3809.7111594099824,1,1,1
5,2,1.2079444454211634,4670.943453702535,1,1,1
6,8,3.155378866543854,26.87966409548533,3,3,1
7,626,1388.5651890543802,407635.2998697028,16,3,3
8,2,0.1140342822851107,0.8965831592295683,1,1,1
9,5,6.513329700574833,4223.681736658387,1,2,2
10,1,0.13602400489964006,0.008220582088198064,1,1,1
11,2249,40420.63198252397,4152270.007086919,1,3,3
12,6,22.14623669432161,2174.686834298231,3,1,1
13,1,0.08532108074345926,0.07936937038982478,1,1,1
14,1,1.2071669877252293,142.43804335301726,1,1,1
15,5,45.77799399145688,726.7016821741698,1,2,2
16,29,372.6416754089774,5130.599007976476,8,1,1
17,5,254.50636425058534,6788.8819506813725,5,1,1
