Bot Hash,Profit,Attacks,Attackers,Exchange Count,First Block,Cluster ID
0x1DB9Baef62D4ad8a74E9051B1a4b49419Fa01573,32031.755124833708,770,4,1,5599805,1
0xC9D9c248A71e5573A4f446B825F915C3e1359239,456.9557019608158,12,1,1,5574870,1
0xde78495b4ee3E0E569fAF1c4a35a90F9c1544294,82.79329274889716,3,1,1,5247299,1
0x097aBff335E9F058b081bd229559a3878d2e3B01,283.0564985059051,13,2,1,5298109,1
0x1d8A5212Ae7C196cafBf58ad5f75B7aC9bDeb0B9,3877.728183454159,26,1,1,5197498,2
0x419b84CC5e6967AeD396F01F598947dbCC26EFD7,217.96999559626295,6,1,1,5626068,1
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,-118.02184435884793,32,52,1,5525670,1
0x11C9e9d921C30D8441131d543DF2dB72a9c7b2B2,128.6679095242873,6,1,1,5550897,2
0xFb5C7c7a199912c3bB5974ED0e0b3FdDc9D2E6C0,618.1070815360631,3,2,1,5198491,3
0xDff6aF15cC2530397Ff8841e9B6d90ccC997d9c3,2441.272995485233,57,2,1,5223749,1
0x2b9Eab2098E4A363A114AA6934f5C3CdEa8149a3,-88.20202313368303,1,2,1,5626604,1
0xD98947c9c377A9a0eD35f6dfac36981f1413B6e9,400.26477456203395,9,1,1,5201214,1
0xdfb702D463B378DEEf627F29B34fBea0eEE16b63,4139.458413479654,104,2,1,5557208,1
0x99515eE5c0E549B1622f785fb0A9Eff14Caaac16,21.663242990254464,1,2,1,5357687,1
0xf42441BC7D324887a6a290Ab220D71f29de69d88,15231.60310319913,296,7,1,5700708,1
0x4A5cb62e27120a5A2b113198A69a2b12069Ad146,-133.12148901356238,4,4,1,5607852,1
0x4A9ab0cCed868232aa314E441C19424C2E6c9079,62.87366537264069,3,2,1,5675633,1
0xe88d6D63389d5c91e6348e379913F330739ad2c4,0.17449832977582616,1,2,1,6230442,1
0x9BCA2C47EaA29558254D6F746a59d7B76Ba3A5e8,825.6268237735286,15,4,1,5675978,1
0x46ffCDc6D8e6ed69F124D944bbfe0ac74f8FCF7F,-97.19878097239504,3,6,1,6029082,1
0x587044b74004E3D5eF2D453b7F8d198d9e4cB558,0.6624267637211565,3,5,1,5828427,1
0xd64aC0a8f157DF9762F8Fae9e650a0f99b039629,-40.2267764383723,3,5,1,5586101,1
0x3d937Ed623EF7ff3A61C55aeBe32789FE443cF13,-14.65635474867998,1,2,1,5704401,1
0x11614c5F1Eb215Ecffe657Da56d3Dd12df395dc8,-0.07201788861352257,3,5,1,6336486,1
0xd0C1bdb51514F144f11169140d408C26bd89f9E5,-12.64823734438086,1,2,1,5613493,1
0xe9800c0b73A71Be61D49a61FA3B2320ee524Fb3D,2.7364902348658697,5,9,1,6235681,1
0x80DBaed5042920CA9157055b958C650411E73676,1471.697126150918,429,3,1,7088138,1
0x4eE51d6484B1789Ba6e6Ae766e93263F713bCB4D,2024.0409854048446,457,6,1,7088153,1
0x02B5e0C10862c8D24585C00282bDE99D09831a6c,-7.247827670942992,1,2,1,5682343,1
0xc255cB7Bc68B8df00A13298e73CeB395da2b9cC1,253.49109796065287,101,6,1,7164175,1
0xc2a694C5cED27E3D3a5A8bD515a42f2B89665003,981.6406484305347,76,1,1,7139311,1
0x9A914CeE02C69E37E4CA51C46967e4FFAcb95cc5,-41.45979079142866,1,2,1,5590955,1
0xcd33B0592Aff3a996614430bf6F8f5354e150F03,49.330620720192925,15,3,1,7165204,4
0x8b30e174BdDB3C0376e666aFB8a4196e2F53182d,-7.5772574932595305,1,2,1,6465638,1
0xDBfCa6b7fF1a2c5F7ddEbDb06572F5E402B2CC80,395.20685275034936,54,1,1,7466737,1
0xB958a8f59AC6145851729F73c7A6968311d8B633,10790.63057728341,1511,4,1,7542655,1
0xB2eE2AB06c61e4fC4DEbfF12433C1dBe7167D598,3997.8831718802176,320,4,1,7166800,4
0x9F35334c9Dc3C66347d33558b7CFe800380391B5,372.58865450334434,72,6,1,7192807,1
0x13ddAe7f499474791D78902b4fa8C32a418BA3Ad,-24.684947864688073,1,2,1,5618079,1
0x5B7bb3fE2E03541E46E3FBD38B1B4De66316eF1e,61.67328759473858,41,2,1,7168776,4
