Cluster ID,Attacks,Cost,Profit,Attacker Accounts,Bot Contracts,Unique Bot Count
1,34536,487033.8178160144,1926171.2088238485,111,51,32
2,32,305.6478169488721,4006.396092978446,1,2,2
3,3,22.230496712824156,618.1070815360631,2,1,1
4,376,1059.3249402540978,4108.887080195149,6,3,3
5,1979,896.412117286324,14131.829505470807,10,11,2
6,156,30.754922583373435,161.86542774122412,1,3,3
7,240,300.41877562096937,1596.5468847569412,13,13,1
8,111,410.975387823618,1232.927377334081,2,2,1
9,130,203.073011041515,792.2794632841913,16,16,1
10,5537,36201.19687539514,152678.65670057246,3,6,6
11,114,95.53203681474379,657.3470503132287,21,21,1
12,79,83.72113848989417,443.78646787528726,2,2,1
13,509,778.1499316910409,11470.055581076796,80,80,1
14,630,1474.3435796213466,10609.443873857694,26,26,1
15,128,414.8425940462918,1954.3267828730254,4,4,1
16,474,2908.375920036746,7913.842716190385,10,11,5
17,374,1343.7294781636606,3495.4240493687475,2,2,1
18,6090,38919.24853826554,85072.33383867134,2,6,6
19,10287,349209.1996602648,2245414.3239395577,16,12,6
20,39162,677784.0985910057,1805682.714606646,19,18,15
21,3452,64745.26622064663,69817.21197129648,7,5,3
22,2288,18201.941869016864,36635.808399272544,35,3,3
23,3,1.3280811046267456,85.43359977902429,3,1,1
24,18388,623770.4775227428,1162178.3875012484,891,7,6
25,88,163.87648753723155,1188.9007635243715,2,2,1
26,1423,13993.687700473502,32117.0469250607,2,1,1
27,294,5290.687976254267,14021.013897290406,1,9,9
28,66,518.3456629740898,942.8572136173404,1,2,2
29,101,2861.6896105063197,5451.266659517407,1,3,3
30,11621,466888.7608295243,1923285.0410890544,2,1,1
31,43,1068.1807879812345,1668.174333953773,2,2,2
32,12415,686850.3748871605,2262411.9525782997,10,7,5
33,8628,61767.11554078816,276668.4731754365,20,6,6
34,39,608.6660509871242,-180.87397065860495,5,1,1
35,5060,51062.40402099539,154763.3920405294,5,2,2
36,10,81.91322135183401,-187.21885509772824,2,1,1
37,16502,111969.25932266336,266603.6513295228,16,8,7
38,714,6128.417226160833,4221.511483088145,1,1,1
39,98,818.2089899237543,2122.6672798403333,1,2,2
40,834,5799.203364639769,8495.999915620672,2,2,1
41,608,6413.8497540658545,48875.53588264957,19,4,4
42,452,3537.0039919283363,2173.8439997551345,1,7,7
43,536,3432.7368644722283,988.1131127568598,1,3,3
44,224,467.2817080585405,1928.2165569437532,2,2,1
45,56,714.4752249062651,725.607189884247,1,5,5
46,667,9108.717775783356,-2319.415395170608,5,11,11
47,1386,9797.085316435938,13304.532678111078,4,5,2
48,2709,15813.364175612707,105210.11684933968,1,1,1
49,337,2044.9321236867668,3610.178096947662,2,2,1
50,48,492.9304272583374,-289.4619119451953,2,4,4
51,3,19.603917079148523,-62.006705577470704,1,1,1
52,259,1751.9520230280805,2113.0437431838764,1,1,1
53,95,908.1236618821513,1745.1966778852307,1,2,2
54,917,6402.211505586441,57142.53863162514,1,1,1
55,1,0.9808003765569072,2.427386660585093,1,1,1
56,337,1883.677398424397,2804.267287077629,1,1,1
57,1221,8507.51179935086,14836.555674379118,1,1,1
58,194,1262.0736111539545,8673.680156728673,3,2,2
59,60,424.63547405959355,-473.9034632945512,2,2,2
60,16,573.4608843898852,207.6973231350989,1,3,3
61,2,14.603886189883497,8.393789865859679,2,2,2
62,33,225.8057197172819,-90.44122451552253,1,2,2
63,8,71.20426392686055,8.671928888440663,2,1,1
64,458,3961.977120558618,2164.031249364494,1,2,2
65,17,122.38282226472201,900.633169797222,1,1,1
66,7,140.06816480505202,34.172697785180915,3,4,4
67,2,10.159514196462277,13.431559809167496,2,1,1
68,71,467.0424444321309,-72.88680860362376,2,2,2
69,1,12.569401962671229,-12.695172334898665,1,1,1
70,65,548.5922154298977,-533.8020856806934,1,1,1
71,7,26.949095728311505,-15.248815868155656,1,1,1
72,3,61.02749195540692,-60.4444138174931,2,1,1
73,31,116.737878881533,-62.02371185786107,1,2,2
74,6,30.697179588971828,50.1223326574115,2,2,1
75,2,38.10720898233482,148.0499499028634,1,1,1
76,18,180.37389452147644,-41.784488081054754,1,1,1
77,4,108.1805205002457,-95.93771523979318,1,1,1
78,1,7.087994244137758,-8.537917590560024,1,1,1
79,3,159.62768010410025,-167.20153503374027,2,2,2
80,4,93.40546857870073,43.71340588408399,1,1,1
81,5,33.72447183209446,39.44224122186212,1,3,3
82,46,274.81786071613396,358.3625742267028,1,1,1
83,1,5.541303009769809,9.335812952714111,1,1,1
84,1,13.20607890222192,-12.4985800668371,1,1,1
85,30,190.12733370378828,-120.27694176382765,2,6,6
86,8,75.12061436659188,-55.90981936394206,1,1,1
87,1,9.808466532622358,-7.680073697480277,1,1,1
88,2,12.619996475081848,15.773786486862273,1,1,1
89,22,354.63854188609906,-188.79140932414552,1,2,2
90,5,62.613174011612664,39.30627902378648,1,1,1
91,2,32.076855619200664,260.7611388604331,1,1,1
92,2,6.730460005523263,-7.066278983416167,1,1,1
93,1,4.005377163934269,64.61138700206818,1,1,1
94,1,11.831010609513573,-57.86810996032238,2,1,1
95,3,15.275640434269944,-13.095444065212602,1,1,1
96,2,12.566735258328858,-12.480056786424484,1,1,1
97,1,10.197468924346097,-10.187844435412694,2,1,1
98,2,4.460195187390909,-32.51341139920147,1,1,1
