Attacker Hash,Campaigns,Rounds,Transactions,Bots,Suppressed Contracts,Profit,Bot Cluster ID
0xAB8B5004f25DbC28d48dBfA6d9Ea0f414b7F0Ac8,15,35,65,11,9,121109.51037510227,3
0xc80476579Cc83961fdFAa896670F2c4f724490a3,3,93,132,2,1,777548.671786634,5
0x0259991C3f3eeaD9723999915308ac12Cb21892A,3,84,106,2,1,777548.671786634,5
0xdEF557383a7287f36AC29759641bC03D076096A9,17,40,91,14,11,91826.35497873154,3
0xb7F71F8f3510026928B0631bcb72683129C6d4Fd,2,13,60,2,2,-11890.915936446774,2
0xcf15866c3a3dE2C986Ef42e3141567dC6A8c24dd,3,86,110,2,1,777548.671786634,5
0xf89748C4D5e29fC9b7747F4aBc14ccf4FDABeEc8,3,86,130,2,1,777548.671786634,5
0x05B8eD3e3EDf5d0820E98818F02307318Ac63dd4,3,82,110,2,1,777548.671786634,5
0x8BC52Ca9Df90C274D2736065e1792CC936b00438,3,83,117,2,1,777548.671786634,5
0xD27d2aFdD35650629c63d4D702eb5F5D2d893642,9,20,34,4,4,27953.920727130208,4
0x4F845758F9E0480037E194eae30233356874e2be,14,32,56,11,10,110933.76356953189,3
0x8eab2647099073C4e321b63470CdE02942c8A793,2,13,58,2,2,-11890.915936446774,2
0x459F91c06e2a20927A192c826176ec25DB144Cd7,3,84,126,2,1,777548.671786634,5
0xA8c988508F764620E1e2f72ED68Df9e099Add1d5,3,84,121,2,1,777548.671786634,5
0x1ea94bd5d2b840A0fCAC16A70873c4B7E10959eC,3,84,117,2,1,777548.671786634,5
0xAc18F6940497e0A3a64eAd795556fDc32D031FCC,16,36,72,13,11,115098.24781687581,3
0x1a6d5DbB20fD44F04AcbaF32712C2dcaaa2BaD56,1,2,7,1,1,-10525.822439007674,4
0xB18Ec8d1a359EF65db806e644e36763C24449e16,3,74,103,2,1,777548.671786634,5
0xe8d09F339752f74E894Fd697D1066b42244c26Ee,3,90,124,2,1,777548.671786634,5
0x4D9fEF582A237A13b3963993cDeb0BefABB1E069,3,91,122,2,1,777548.671786634,5
0xa9413093002B8C7139EB6929F53aE760CF397eb8,5,9,14,2,3,48221.46404725198,4
0x5CEfEd3c0f4E64ED8ce05b331f1B7aE6d136596B,11,25,45,9,8,37437.37820843092,3
0x153bDe6B59025F8585e247B2E18dDf1141772BCc,14,38,81,11,9,114647.73008259933,3
0x54315Ea0355c528dFe0bC35Cd9675dfe522124A7,1,9,16,1,1,-2922.068638535603,5
0x0CF30B42B7e985f5c05796d56B336F475FDbEC0B,14,34,95,12,9,82904.50279978248,3
0x81eff1F7a6BF826d550e9503f31e4F2d1973a0aC,6,10,16,2,3,48525.16906275675,4
0x07E02CdF374cAF71cb8c85986f1C5be373D01F0C,2,10,25,2,2,-11890.915936446774,2
0xD93719bDfB7662194595Ad92E6CfCBef01942ca1,1,1,1,1,1,-45.99602107547236,1
0x87C7BABE2A9Bf81C622a346fFbE57671545854eF,13,36,91,5,4,20564.035588818686,4
0xD201f83f4826C60f309bf81f89396434e8D088b8,3,89,127,2,1,777548.671786634,5
0x9dff772Bd890973472aAbbC7028b3e4a8c48593c,14,39,108,11,9,114647.73008259933,3
0xb1D4Abb185305aAd9CDa4e3c78FE0FaaA9b95aEF,12,36,75,3,4,33216.888370626766,4
0xa04D5Eba257dB7DEfB3f57cc063465A020036AC7,15,37,72,12,9,116367.7716532558,3
0x3C316DEF240b1C5aB5e0be027cb91E8aE850Ff27,12,39,78,4,4,24843.012050829613,4
0x18a0451Ea56Fd4FF58f59837e9EC30f346ffDCa5,1,31,48,1,1,791211.8601563465,5
0xf3cB1FF6785D7B7dfF7f70A108884107B402c4de,15,37,103,11,9,123892.85565724284,3
0xceFC49922a993b23a5bCa9581b1aaef1b3745342,3,90,122,2,1,777548.671786634,5
0xF2257057ae6443E38Ef6600a47c579fB318267c6,1,1,1,1,1,-45.99602107547236,1
0x18Da94903De79c18Eb0F4F6e6327A4266ef60A9A,12,37,74,3,4,34058.68862857341,4
0x825d741ba087A08B366e27E7bd10B7dA17C078b5,3,82,120,2,1,777548.671786634,5
0xf6E89C15731D611A33DdcbF3274CfAAAe26E1059,8,18,30,2,3,43278.04566143907,4
0x62Ba041B7bD374685545cD876eddD736B8804f8D,1,1,1,1,1,-45.99602107547236,1
0x4483Eafeb1BAb0a0aA3bD30Dd8359A89BC98630F,10,29,62,8,3,115847.99431385117,2
0xa8E4F0943D11BBFf1F9723565805BB404c1F2acb,1,1,1,1,1,-45.99602107547236,1
0x174Cc843cC4De8412E341391512e3755c803103e,3,117,173,2,1,777548.671786634,5
0x112dA445967c0EDD2aaBF54a236b6CBEa98C8a9d,3,113,159,2,1,777548.671786634,5
0x9DAb207b6C366Bb7e1A5D930B865Ebda410af0cF,13,53,115,5,4,20564.035588818686,4
0x19005A1f86c4D3c879BdB20864f54c6382e55b48,15,38,89,12,9,115269.47294539165,3
0xED569A6E89EDB403206efFDE375e4c03b7E1194A,3,82,118,2,1,777548.671786634,5
0x1699F98788FBB572b4b76243d387CC0ACfec1619,10,31,109,8,3,115847.99431385117,2
0x9d529B71C5e6C7B386B54B5b179dCb8aAC77f683,3,113,158,2,1,777548.671786634,5
0x7f4b761C7f589d629405ccd63aBC0536bD6843d4,15,32,68,13,11,82681.25066272519,3
0x061d8D0fBceb6754D27eaf0da8FaCc2f42B0363B,12,40,79,4,4,21792.91065658486,4
0x24fE5A20E7321C6F1e33D542B295e1E23e89cB16,16,42,114,12,10,124409.65612851689,3
0x25498d0C631D0201AE276d76Bba13b59164A4025,3,112,161,2,1,777548.671786634,5
0xd44DdF4d623c32f8E8685C1F9F4d32F65A3dadad,10,41,154,8,3,115847.99431385117,2
0x23BE6Ce684e0fE96fcB797c91027e26e5E6F0CBB,3,108,153,2,1,777548.671786634,5
0x1055160eF1a84e62b6a71bD30D5A9325623eE8DD,3,112,166,2,1,777548.671786634,5
0xBf8DcDe488516fC905ABF7cFD9cE2E4D1e654E26,3,104,153,2,1,777548.671786634,5
0xa169DF5ED3363cfC4c92ac96C6C5f2A42fCCBF85,1,3,7,1,1,-1021.2281420604246,4
0x0AE76F7d33f5B11fc8900e7D74266673B51aebD1,3,85,115,2,1,777548.671786634,5
0x440adb62782028208fAe0F73f33e44B3a29f42b8,4,18,61,4,2,-7810.839171412187,2
0x1dD63481f86B47AA0D429581F1e59db97AA1FA69,1,2,4,1,1,-10525.822439007674,4
0x50F6A1D038dD7151dBf74eD19F5fcAE967EEF8C0,3,87,119,2,1,777548.671786634,5
0x99A4C348FEa9cc938d2d897692D7395fc3c4Ce80,3,79,109,2,1,777548.671786634,5
0x2974430ceef442516ADc2BFB528626079a666cdC,10,36,113,8,3,115847.99431385117,2
0x1B8C56FD6C576aAeF057081556d6fe59c788CEbf,15,31,68,12,9,114643.06278481183,3
0x6E4d0729bC7E3a6d8D3C563579a3867C46f7E2A4,3,82,110,2,1,777548.671786634,5
0xd1c133B46fc1C95D5AEb0667C177191181686F55,3,115,162,2,1,777548.671786634,5
0x8728cB0eA53D439f37A8fA21dB77859B3cA2CA81,3,89,131,2,1,777548.671786634,5
0x3e5722cD6d309e5604cea59951c7A733fccc0866,2,13,58,2,2,-11890.915936446774,2
0x3D26FeC4D3E2086201e589bd16023019bc561dE7,14,36,107,12,9,82321.41959151086,3
0xd71f6B174f7c901C850cf0655950Ce2eCE89904a,3,84,121,2,1,777548.671786634,5
0xC6A4F7f08300a614756f20D823f08417F3BA43E2,8,33,77,4,3,-36405.45172311618,4
0x28a421602386603720eF6AB64FE555bb3d1c954e,3,90,131,2,1,777548.671786634,5
0x288cc66391128D303156429aA19DB191ae37e547,3,86,121,2,1,777548.671786634,5
0x45Cf2aE05c1409cecCF4eBa5Fd82D45Ee4CD1CEf,3,81,113,2,1,777548.671786634,5
0x93a86432120EfD7Ad651aAc017089A455F4FEba6,16,40,97,12,10,124314.30216766724,3
0x7Ddae8209776F2c0C94840E3E11c9f3862E2fc4c,13,59,115,4,4,24098.026215018966,4
0xd036A3D8F70e90192e34D13719536018418D0D2d,12,52,204,8,3,115241.4470791856,2
0xF033ad4b1D63687efc24620be89aFD07b21B01f2,13,53,112,5,4,20564.035588818686,4
0x854329DB7BAA599d3cEC08A98e1ad5FDeDf51e73,3,82,119,2,1,777548.671786634,5
0x06C324921fcf6CFe3512A1adF20F278F172D04D3,3,83,113,2,1,777548.671786634,5
0xB812C22749e3bb686a55d30F9aBDB5Ed201476f7,1,1,1,1,1,-45.99602107547236,1
0xD494e074aa5239edd095367b68B322E9D72DA053,1,1,1,1,1,-45.99602107547236,1
0xf39E3F90E1f4584dbeFD31CFa1F492899a1C7D09,3,111,151,2,1,777548.671786634,5
0xC96b8de929aeA89EB242Ed50412da0E4a6e7E590,5,45,112,4,4,35037.004072711046,4
0x62E4cBCD206aaA66Aa7AF9c184b5f93DF0A61dbD,12,53,188,8,3,115241.4470791856,2
0x94eA05d98e409c5884a93a055b5A51E65B6f3AE7,3,85,127,2,1,777548.671786634,5
0xaE51246E1C103048F661C279Db6bd83cB7Dfd512,16,33,64,13,10,115159.86325608588,3
0xa2444E7641C521edF4CD892B3fFAbf7C2AbDDE1a,3,85,128,2,1,777548.671786634,5
0xCfcB7E84BdB77594Ff0Fa6A717A9D117B3B62e39,3,81,123,2,1,777548.671786634,5
0x7002B16F4A1Df50CC0AFF49c2012E4Fd3348cD69,15,37,91,12,10,115164.53055387338,3
